,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,source,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Identifier_0,Outlet_Identifier_1,Outlet_Identifier_2,Outlet_Identifier_3,Outlet_Identifier_4,Outlet_Identifier_5,Outlet_Identifier_6,Outlet_Identifier_7,Outlet_Identifier_8,Outlet_Identifier_9
0,FDA15,249.8092,3735.138,0.016047301,9.3,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,DRC01,48.2692,443.4228,0.019278216,5.92,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,FDN15,141.618,2097.27,0.016760075,17.5,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,FDX07,182.095,732.38,0.0,19.2,train,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4,NCD19,53.8614,994.7052,0.0,8.93,train,26,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,FDP36,51.4008,556.6088,0.0,10.395,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6,FDO10,57.6588,343.5528,0.012741088999999999,13.65,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,FDP10,107.7622,4022.7636,0.127469857,19.0,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8,FDH17,96.9726,1076.5986,0.016687114,16.2,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,FDU28,187.8214,4710.535,0.09444959,19.2,train,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10,FDY07,45.5402,1516.0266,0.0,11.8,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,FDA03,144.1102,2187.153,0.045463773,18.5,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,FDX32,145.4786,1589.2646,0.1000135,15.1,train,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,FDS46,119.6782,2145.2076,0.047257328,17.6,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,FDF32,196.4426,1977.4260000000002,0.06802430000000001,16.35,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,FDP49,56.3614,1547.3192,0.06908896099999999,9.0,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,NCB42,115.3492,1621.8888,0.008596051,11.8,train,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
17,FDP49,54.3614,718.3982,0.06919637599999999,9.0,train,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,DRI11,113.2834,2303.6679999999997,0.034237682,8.26,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
19,FDU02,230.5352,2748.4224,0.10249212,13.35,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,FDN22,250.8724,3775.086,0.138190277,18.85,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,FDW12,144.5444,4064.0432,0.035399923,8.315,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
22,NCB30,196.5084,1587.2672,0.025698133999999997,14.6,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,FDC37,107.6938,214.3876,0.057556998,15.5,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24,FDR28,165.021,4078.025,0.025896485,13.85,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,NCD06,45.90600000000001,838.908,0.099887103,13.0,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26,FDV10,42.3112,1065.28,0.06669343700000001,7.645,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27,DRJ59,39.1164,308.9312,0.019356131999999998,11.65,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,FDE51,45.5086,178.4344,0.161466534,5.925,train,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29,FDC14,43.6454,125.8362,0.072221801,14.5,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,FDV38,55.7956,163.7868,0.17034855100000001,19.25,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31,NCS17,96.4436,2741.7644,0.080829372,18.6,train,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32,FDP33,256.6672,3068.0064,0.0,18.7,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
33,FDO23,93.1436,2174.5028,0.0,17.85,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,DRH01,174.8738,2085.2856,0.097904029,17.5,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,NCX29,146.7102,3791.0652,0.08929113699999999,10.0,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,FDV20,128.0678,2797.6916,0.059511812000000004,20.2,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
37,DRZ11,122.5388,1609.9044,0.113123893,8.85,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,FDX10,36.9874,388.1614,0.12311145300000001,6.384999999999999,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
39,FDB34,87.6198,2180.495,0.026480953999999998,15.25,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
40,FDU02,230.6352,3435.528,0.102511504,13.35,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,FDK43,126.00200000000001,2150.534,0.02681843,9.8,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
42,FDA46,192.9136,2527.3768,0.117818348,13.6,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,FDC02,259.9278,6768.5228,0.06910283099999999,21.35,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,FDL50,126.5046,373.5138,0.042277867000000004,12.15,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,FDM39,178.1002,358.2004,0.08949892599999999,6.42,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,NCP05,153.3024,2428.8384,0.0,19.6,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
47,FDV49,265.2226,5815.0972,0.025879577,10.0,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48,FDL12,60.622,2576.646,0.121632721,15.85,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49,FDS02,196.8794,780.3176,0.25539489600000004,10.195000000000002,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
50,NCL17,143.8812,3134.5864,0.067779712,7.39,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,FDM40,141.5154,850.8924,0.159803853,10.195,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
